Year,Month,Consumption(million gallons),Cost(million dollars),Cost per Gallon (dollars)
2011,November,859.9,"2,664.20",3.1
2011,December,889.7,"2,742.90",3.08
2011,Total,"10,828.30","33,099.00",3.06
% Chg over,2010,-2.07%,31.85%,34.63%
2012,January,808.5,"2,538.50",3.14
2012,February,788.3,"2,559.60",3.25
2012,March,891.3,"2,966.70",3.33
2012,April,844.9,"2,825.10",3.34
2012,May,885,"2,867.40",3.24
2012,June,905.7,"2,708.80",2.99
2012,July,918.7,"2,716.20",2.96
2012,August,904.8,"2,796.60",3.09
2012,September,816.1,"2,660.30",3.26
2012,October,827.8,"2,728.70",3.3
2012,November,795.5,"2,525.90",3.18
2012,December,851.5,"2,662.00",3.13
2012,Total,"10,238.00","32,555.90",3.18
% Chg over,2011,-5.45%,-1.64%,4.03%
2013,January,810,"2,530.00",3.12
2013,February,737.5,"2,422.40",3.28
2013,March,870.8,"2,789.20",3.2
2013,April,839.4,"2,560.40",3.05
2013,May,867.8,"2,532.80",2.92
2013,June,889.6,"2,579.90",2.9
2013,July,926.1,"2,699.10",2.91
2013,August,897.4,"2,737.30",3.05
2013,September,798.8,"2,464.40",3.09
2013,October,839.8,"2,557.60",3.05
2013,November,801.9,"2,423.00",3.02
2013,December,877.2,"2,656.40",3.03
2013,Total,"10,156.10","30,952.50",3.05
% Chg over,2012,-0.80%,-4.93%,-4.16%
2014,January,793.7,"2,453.90",3.09
2014,February,737.8,"2,246.30",3.04
2014,March,882.6,"2,651.20",3
2014,April,851.1,"2,536.10",2.98
2014,May,874,"2,612.60",2.99
2014,June,901.2,"2,677.00",2.97
2014,July,928.1,"2,783.30",3
2014,August,900.4,"2,685.00",2.98
2014,September,822.5,"2,376.80",2.89
2014,October,872.5,"2,349.10",2.69
2014,November,830,"2,138.30",2.58
2014,December,898.9,"2,080.90",2.32
2014,Total,"10,292.60","29,590.50",2.87
% Chg over,2013,1.34%,-4.40%,-5.67%
2015,January,826.8,"1,600.80",1.94
2015,February,755,"1,683.10",2.23
2015,March,906.1,"1,818.20",2.01
2015,April,884.1,"1,699.70",1.92
2015,May,909.8,"1,901.90",2.09
2015,June,939,"1,915.30",2.04
2015,July,986.7,"1,803.60",1.83
2015,August,957.2,"1,605.20",1.68
2015,September,857.1,"1,365.80",1.59
2015,October,901.6,"1,472.60",1.63
2015,November,871.9,"1,367.50",1.57
2015,December,946.1,"1,366.00",1.44
2015,Total,"10,741.20","19,599.60",1.82
% Chg over,2014,4.36%,-33.76%,-36.53%
2016,January,855.7,"1,103.10",1.29
2016,February,824.7,"1,020.90",1.24
2016,March,943.9,"1,207.90",1.28
2016,April,903.4,"1,201.30",1.33
2016,May,950.5,"1,359.40",1.43
2016,June,992.2,"1,778.70",1.79
2016,July,"1,027.60","1,540.60",1.5
2016,August,"1,006.70","1,450.80",1.44
2016,September,897.3,"1,327.90",1.48
2016,October,919.7,"1,459.80",1.59
2016,November,886,"1,286.40",1.45
2016,December,959.6,"1,543.10",1.61
2016,Total,"11,167.30","16,279.90",1.46
% Chg over,2015,3.97%,-16.94%,-20.11%
2017,January,882.4,"1,451.90",1.65
2017,February,804,"1,369.60",1.7
2017,March,965,"1,590.90",1.65
2017,April,919.2,"1,525.30",1.66
2017,May,963.9,"1,544.50",1.6
2017,June,"1,008.70","1,546.70",1.53
2017,July,"1,037.50","1,610.90",1.55
2017,August,"1,030.20","1,696.20",1.65
2017,September,879.4,"1,589.10",1.81
2017,October,953.4,"1,735.70",1.82
2017,November,921.7,"1,726.60",1.87
2017,December,975,"1,862.60",1.91
2017,Total,"11,340.40","19,250.00",1.7
% Chg over,2016,1.55%,18.24%,16.44%
2018,January,910.7,"1,837.80",2.02
2018,February,850.9,"1,721.20",2.02
2018,March,990.3,"1,936.70",1.96
2018,April,965.4,"2,005.50",2.08
2018,May,"1,011.80","2,209.90",2.18
2018,June,"1,038.60","2,288.30",2.2
2018,July,"1,078.40","2,365.10",2.19
2018,August,"1,071.10","2,349.20",2.19
2018,September,950.1,"2,104.80",2.22
2018,October,"1,003.80","2,350.70",2.34
2018,November,970.6,"2,186.10",2.25
2018,December,"1,006.70","2,047.30",2.03
2018,Total,"11,848.50","25,402.70",2.14
% Chg over,2017,4.48%,31.96%,26.30%
2019,January,947.7,"1,808.50",1.91
2019,February,874.7,"1,741.00",1.99
2019,March,"1,031.90","2,087.00",2.02
2019,April,992.3,"2,042.20",2.06
2019,May,"1,047.10","2,217.30",2.12
2019,June,"1,060.10","2,115.10",2
2019,July,"1,099.70","2,185.90",1.99
2019,August,"1,089.50","2,110.80",1.94
2019,September,962.6,"1,888.50",1.96
2019,October,"1,033.00","2,035.00",1.97
2019,November,986.5,"1,966.60",1.99
2019,December,"1,059.00","2,131.10",2.01
2019,Total,"12,184.00","24,328.80",2
% Chg over,2018,2.83%,-4.23%,-6.86%
2020,January,982.3,"1,950.10",1.99
2020,February,926.9,"1,663.10",1.79
2020,March,848.2,"1,238.70",1.46
2020,April,313,455.1,1.45
2020,May,297,316.3,1.07
2020,June,393.5,442.9,1.13
2020,July,565.7,666.1,1.18
2020,August,589.1,714,1.21
2020,September,508.5,599,1.18
2020,October,568.9,650.5,1.14
2020,November,593,717.9,1.21
2020,December,646.7,953,1.47
2020,Total,"7,232.90","10,366.70",1.43
% Chg over,2019,-40.64%,-57.39%,-28.22%
2021,January,579,877.5,1.52
2021,February,525.8,848.2,1.61
2021,March,713.6,"1,333.10",1.87
2021,April,739.8,"1,302.30",1.76
2021,May,819.4,"1,632.40",1.99
2021,June,897.7,"1,824.90",2.03
2021,July,993.7,"1,978.30",1.99
2021,August,965.2,"1,907.90",1.98
2021,September,884.3,"1,773.30",2.01
2021,October,927.8,"2,078.00",2.24
2021,November,915.1,"2,109.40",2.31
2021,December,976.5,"2,085.00",2.14
2021,Total,"9,937.80","19,750.30",1.99
% Chg over,2020,37.40%,90.52%,38.66%
2022,January,848.5,"2,003.40",2.36
2022,February,820,"2,123.70",2.59
2022,March,980.7,"2,971.30",3.03
2022,April,933.7,"3,341.80",3.58
2022,May,962.3,"3,756.10",3.9
2022,June,968.6,"3,902.80",4.03
2022,July,"1,022.40","3,759.20",3.68
2022,August,"1,007.30","3,478.40",3.45
2022,September,946.1,"3,304.20",3.49
2022,October,979.8,"3,412.40",3.48
2022,November,965.8,"3,216.70",3.33
2022,December,"1,006.10","3,158.10",3.14
2022,Total,"11,441.30","38,427.90",3.36
% Chg over,2021,15.13%,94.57%,69.00%
2023,January,971.7,"3,233.50",3.33
2023,February,907.1,"2,950.50",3.25
2023,March,"1,065.10","3,120.60",2.93
2023,April,997.2,"2,654.20",2.66
2023,May,"1,041.80","2,549.10",2.45
2023,June,"1,058.30","2,581.10",2.44
2023,July,"1,108.40","2,768.10",2.5
2023,August,"1,107.30","3,146.30",2.84
2023,September,"1,004.70","3,172.20",3.16
2023,October,"1,073.00","3,348.30",3.12
2023,November,"1,017.60","3,069.90",3.02
2023,December,"1,058.50","2,957.20",2.79
2023,Total,"12,410.40","35,550.90",2.86
% Chg over,2022,8.47%,-7.49%,-14.71%
